Keywords (Clem)
"January 1, 2026 - April 26, 2026"
Search keyword,Search keyword status,Search keyword match type,Campaign,Ad group,Quality Score,Ad relevance,Landing page exp.,Exp. CTR,Currency code,Cost,Impr.,Clicks,Conversions,Search impr. share,Search lost IS (rank),Impr. (Abs. Top) %,Impr. (Top) %
fba prep services near me,Not eligible,Phrase match,Locations - Southern California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl services near me,Not eligible,Phrase match,Locations - Southern California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment house near me,Not eligible,Phrase match,Locations - Southern California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
southern california fulfillment center,Not eligible,Phrase match,Locations - Southern California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3 pl warehousing near me,Not eligible,Phrase match,Locations - Southern California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fba prep near me,Not eligible,Phrase match,Locations - Southern California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment services southern california,Not eligible,Phrase match,Locations - Southern California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
los angeles fulfillment,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment warehouse los angeles,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment house los angeles,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
third party logistics los angeles,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl warehouse los angeles,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ecommerce fulfillment los angeles,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment companies los angeles,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl warehouse in los angeles,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3rd party logistics los angeles,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment services los angeles,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
order fulfillment los angeles,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
los angeles ecommerce fulfillment,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl companies los angeles,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
la fulfillment,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
la fulfillment services,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
los angeles fulfillment centers,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
los angeles fulfillment services,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl logistics los angeles,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment center los angeles ca,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl la,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment center los angeles california,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
la 3pl,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
los angeles 3pl,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl warehouse la,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
los angeles fulfillment warehouse,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
third party logistics companies in los angeles,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
third party logistics in los angeles,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
third party logistics services in los angeles,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
los angeles fulfilment house,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
la fulfillment house,Not eligible,Phrase match,Locations - LA,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
california fulfillment,Not eligible,Phrase match,Locations - California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment center california,Not eligible,Phrase match,Locations - California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
california fulfillment services,Not eligible,Phrase match,Locations - California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment warehouse california,Not eligible,Phrase match,Locations - California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
third party logistics california,Not eligible,Phrase match,Locations - California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl companies california,Not eligible,Phrase match,Locations - California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
order fulfillment california,Not eligible,Phrase match,Locations - California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl warehouse california,Not eligible,Phrase match,Locations - California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
california 3pl,Not eligible,Phrase match,Locations - California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ecommerce fulfillment california,Not eligible,Phrase match,Locations - California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
order fulfillment services california,Not eligible,Phrase match,Locations - California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment companies in california,Not eligible,Phrase match,Locations - California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ca fulfillment,Not eligible,Phrase match,Locations - California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment in california,Not eligible,Phrase match,Locations - California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl services california,Not eligible,Phrase match,Locations - California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
california fulfillment warehouse companies,Not eligible,Phrase match,Locations - California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl ca,Not eligible,Phrase match,Locations - California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl warehouse in california,Not eligible,Phrase match,Locations - California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
california 3pl warehouse,Not eligible,Phrase match,Locations - California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ca 3pl,Not eligible,Phrase match,Locations - California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
third party logistics companies in california,Not eligible,Phrase match,Locations - California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
california order fulfillment,Not eligible,Phrase match,Locations - California,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
skincare fulfillment,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Skincare Fulfillment, --, --, --, --,USD,0.00,1,0,0.00,100.00%,0.00%,0.00%,100.00%
skincare 3pl,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Skincare Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
makeup fulfillment,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Skincare Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
skin care products order fulfillment,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Skincare Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
cosmetics fulfillment,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Cosmetics Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,> 90%,0,0
cosmetics fulfillment center,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Cosmetics Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
cosmetics fulfillment services,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Cosmetics Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
best cosmetics fulfillment,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Cosmetics Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
cosmetics fulfilment,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Cosmetics Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,0.00%,0,0
cosmetics fulfillment company,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Cosmetics Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
cosmetics 3pl,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Cosmetics Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
cosmetics 3pl companies,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Cosmetics Fulfillment, --, --, --, --,USD,37.86,4,1,0.00,75.00%,25.00%,50.00%,100.00%
cosmetic order fulfillment,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Cosmetics Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl for cosmetics,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Cosmetics Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl cosmetics,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Cosmetics Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
cosmetic fulfilment services,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Cosmetics Fulfillment, --, --, --, --,USD,1.97,14,1,0.00,50.00%,38.89%,33.33%,77.78%
cosmetics fulfillment partner,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Cosmetics Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
order fulfillment for cosmetics,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Cosmetics Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
e fulfillment services for cosmetics,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Cosmetics Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ecommerce cosmetics fulfillment,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Cosmetics Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
d2c cosmetics fulfillment,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Cosmetics Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
beauty fulfillment,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,beauty fulfillment, --, --, --, --,USD,0.00,4,0,0.00,25.00%,58.33%,66.67%,100.00%
beauty 3pl,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,beauty fulfillment, --, --, --, --,USD,0.00,8,0,0.00,100.00%,0.00%,0.00%,100.00%
beauty ecommerce fulfillment,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,beauty fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
beauty fulfillment services,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,beauty fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,0.00%,0,0
beauty order fulfillment,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,beauty fulfillment, --, --, --, --,USD,7.80,15,1,0.00,42.31%,7.69%,10.00%,80.00%
beauty products fulfillment,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,beauty fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
warehousing and fulfillment for health and beauty,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,beauty fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
health and beauty fulfillment,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,beauty fulfillment, --, --, --, --,USD,0.00,43,0,0.00,47.46%,38.98%,32.14%,78.57%
3pl beauty treatment,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,beauty fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ecommerce order fulfillment for beauty products,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,beauty fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl beauty,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,beauty fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
beauty and cosmetics fulfilment,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,beauty fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl beauty treatments,Not eligible,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM Cosmetics Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,beauty fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
pick pack fulfillment,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,Pick and Pack, --, --, --, --,USD,181.60,204,9,0.00,< 10%,60.55%,18.24%,76.35%
warehouse picking and packing,Limited,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,Pick and Pack, --, --, --, --,USD,0.00,1,0,0.00,< 10%,72.22%,0,0
ecommerce pick and pack,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,Pick and Pack, --, --, --, --,USD,0.00,0,0,0.00,< 10%,> 90%,0,0
pick and pack fulfillment services,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,Pick and Pack, --, --, --, --,USD,126.59,165,11,0.00,< 10%,64.87%,20.00%,72.80%
3pl pick and pack,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,Pick and Pack, --, --, --, --,USD,93.23,15,3,0.00,< 10%,55.98%,7.69%,53.85%
pick and pack fulfillment cost,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,Pick and Pack, --, --, --, --,USD,0.00,9,0,0.00,< 10%,54.10%,11.11%,44.44%
b2b order fulfillment,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,B2B Fulfillment, --, --, --, --,USD,0.00,2,0,0.00,20.00%,60.00%,0.00%,100.00%
b2b warehousing,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,B2B Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,73.33%,0,0
b2b 3pl,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,B2B Fulfillment, --, --, --, --,USD,0.00,1,0,0.00,< 10%,54.17%,0.00%,100.00%
b2b fulfillment companies,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,B2B Fulfillment, --, --, --, --,USD,25.74,7,1,0.00,< 10%,60.00%,14.29%,71.43%
b2b fulfillment services,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,B2B Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,> 90%,0,0
fulfillment b2b,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,B2B Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl b2b,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,B2B Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,66.67%,0,0
bigcommerce fulfillment center,Removed,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Bigcommerce Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
bigcommerce fulfillment warehouse,Eligible,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Bigcommerce Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
bigcommerce shipping fulfillment,Eligible,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Bigcommerce Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
bigcommerce 3pl,Eligible,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Bigcommerce Fulfillment, --, --, --, --,USD,0.00,3,0,0.00,40.00%,60.00%,50.00%,100.00%
big commerce fulfillment center,Eligible,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Bigcommerce Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
big commerce fulfilment,Eligible,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Bigcommerce Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
bigcommerce fulfillment provider,Eligible,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Bigcommerce Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment warehouse near me,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Near Me, --, --, --, --,USD,0.00,8,0,0.00,26.67%,66.67%,50.00%,100.00%
3pl warehouse near me,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Near Me, --, --, --, --,USD,0.00,3,0,0.00,11.11%,22.22%,0.00%,100.00%
fulfillment services near me,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Near Me, --, --, --, --,USD,0.00,6,0,0.00,< 10%,66.67%,0,0
3pl logistics near me,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Near Me, --, --, --, --,USD,62.98,13,2,0.00,< 10%,51.43%,33.33%,66.67%
local fulfillment centers,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Near Me, --, --, --, --,USD,34.79,26,3,0.00,12.59%,60.84%,17.65%,82.35%
3pl services near me,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Near Me, --, --, --, --,USD,0.00,3,0,0.00,16.67%,38.89%,33.33%,100.00%
shoe 3pl,Eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Shoe Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
footwear fulillment,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Shoe Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
third party logistics,Paused,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,3PL, --, --, --, --,USD,288.12,606,32,0.00,< 10%,72.42%,22.61%,63.98%
3pl logistics,Removed,Exact match,Ecommerce Fulfillment Services | Handled | Search | TDM,3PL, --, --, --, --,USD,55.90,130,5,0.00,< 10%,68.67%,8.33%,60.42%
3pl distribution companies,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,3PL, --, --, --, --,USD,172.10,726,22,0.00,< 10%,72.69%,17.82%,67.24%
largest 3pl logistics companies,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,3PL, --, --, --, --,USD,0.00,6,0,0.00,< 10%,63.08%,0.00%,80.00%
3rd party logistics companies near me,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,3PL, --, --, --, --,USD,0.00,22,0,0.00,< 10%,50.00%,0.00%,0.00%
3pl e commerce fulfillment service,Eligible,Phrase match,Ecommerce Fulfillment Services | Handled | Search | TDM,3PL, --, --, --, --,USD,0.00,1,0,0.00,< 10%,75.00%,0.00%,100.00%
fulfillment house los angeles,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
third party logistics los angeles,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment, --, --, --, --,USD,117.61,62,4,0.00,12.44%,55.16%,30.19%,84.91%
fulfillment companies los angeles,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,50.00%,0,0
los angeles third party logistics,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,> 90%,0,0
fulfillment services los angeles,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment, --, --, --, --,USD,0.00,8,0,0.00,13.51%,70.27%,60.00%,100.00%
order fulfillment los angeles,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,58.82%,0,0
los angeles ecommerce fulfillment,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
la fulfillment,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,54.55%,0,0
los angeles fulfillment centers,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment, --, --, --, --,USD,0.00,7,0,0.00,15.00%,47.50%,16.67%,100.00%
fulfillment center los angeles ca,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,66.67%,0,0
3pl la,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment, --, --, --, --,USD,0.00,2,0,0.00,25.00%,50.00%,0.00%,50.00%
3pl warehouse la,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,66.67%,0,0
third party logistics companies in los angeles,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
third party logistics in los angeles,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,80.00%,0,0
third party logistics services in los angeles,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
shopify automatic fulfillment,Eligible,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Shopify Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,> 90%,0,0
shopify fulfillment company,Eligible,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Shopify Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
best fulfillment services for shopify,Eligible,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Shopify Fulfillment, --, --, --, --,USD,0.00,1,0,0.00,20.00%,80.00%,0.00%,0.00%
shopify third party fulfillment,Eligible,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Shopify Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,> 90%,0,0
shopify warehousing,Eligible,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Shopify Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
best 3pl for shopify,Eligible,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Shopify Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,> 90%,0,0
fulfillment services for shopify,Eligible,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Shopify Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,16.67%,0,0
